Timestamp,Low,Volume_(BTC),Volume_(Currency),Weighted_Price,High,Close,Open
2017-01-01 00:00:00,964.6,102.48480572000003,99027.38580830701,57003.10550034001,966.99,966.6,966.34
2017-01-01 01:00:00,962.54,149.0255539300001,143716.71825119082,57850.650345220034,966.6,963.87,966.6
2017-01-01 02:00:00,961.99,94.26739590000003,90901.73616798602,57845.80554617002,965.75,963.97,964.35
2017-01-01 03:00:00,960.53,77.61966749,74736.649236909,57834.205076809994,964.71,962.83,963.97
2017-01-01 04:00:00,960.6,46.810220269999995,45054.655497718,57772.25694300998,963.64,963.46,960.61
2017-01-01 05:00:00,962.8,53.526258389999995,51563.04292356,57797.04870165003,964.0,964.0,963.46
2017-01-01 06:00:00,963.74,26.48478439,25538.230199790003,57856.88424711,964.99,964.76,963.74
2017-01-01 07:00:00,964.76,6.35425333,6131.595820786,57896.278333349976,964.98,964.96,964.76
2017-01-01 08:00:00,964.96,30.983204420000007,29897.645470072002,57898.18098453003,964.99,964.98,964.96
2017-01-01 09:00:00,964.98,49.1976393,47475.540547872995,57904.90942261999,965.62,965.6,964.98
2017-01-01 10:00:00,965.01,344.93057686000003,334389.19081443537,58163.79401237998,974.77,973.98,965.6
2017-01-01 11:00:00,970.72,362.6981145999999,353559.3361353974,58474.218548020006,975.0,974.92,973.98
2017-01-01 12:00:00,972.5,212.95265971000003,207637.15345094295,58467.18087758999,975.8,972.5,975.0
2017-01-01 13:00:00,972.5,41.45651278999999,40349.97224152161,58400.04183542998,974.09,974.09,972.51
2017-01-01 14:00:00,973.2,169.39529284999998,165207.23002879097,58477.159493100015,976.0,975.85,974.1
2017-01-01 15:00:00,974.62,246.25312476999997,240390.43331486406,58573.52166692,977.92,976.71,975.85
2017-01-01 16:00:00,976.22,1261.0120862800002,1239956.9605235248,58927.66803529999,992.99,992.99,976.71
2017-01-01 17:00:00,981.57,407.66034449000006,403959.566590933,59512.38271008001,994.12,990.81,992.98
2017-01-01 18:00:00,990.81,408.5048431199999,406780.71813241,59741.05938641001,998.0,996.22,990.81
2017-01-01 19:00:00,992.49,256.63999075,255466.07112000696,59698.698540950005,997.03,997.03,996.53
2017-01-01 20:00:00,996.0,1359.8150756200002,1359158.4407719062,59933.28239854,1001.64,999.95,996.01
2017-01-01 21:00:00,996.29,448.35557812,449207.98517880304,60134.245914639985,1003.97,1002.99,996.29
2017-01-01 22:00:00,1000.0,311.65150387000006,312851.92229017726,60210.98852100001,1004.88,1002.5,1002.99
2017-01-01 23:00:00,994.39,382.51382162000004,381783.8749401791,59919.44108651001,1005.0,997.75,1002.5
2017-01-02 00:00:00,996.89,129.11445612000003,128811.82570639497,59878.31386677,999.89,997.69,997.75
2017-01-02 01:00:00,997.68,78.17730301,78015.09691989698,59880.999945159965,998.46,998.46,997.69
2017-01-02 02:00:00,998.44,577.4096318200001,578248.296396445,59993.757087979975,1005.0,1005.0,998.46
2017-01-02 03:00:00,1004.55,166.41407127000002,167295.53263221297,60325.3605393,1005.75,1005.75,1004.99
2017-01-02 04:00:00,1003.55,148.44451994,149181.95662203804,60304.897251899994,1005.73,1005.73,1005.66
2017-01-02 05:00:00,1003.2,70.22719475999999,70621.1107761144,60335.87199360001,1005.8,1003.2,1005.48
2017-01-02 06:00:00,1002.8,72.94886699999999,73262.28920685299,60277.22188439999,1005.0,1005.0,1003.2
2017-01-02 07:00:00,1004.76,74.76344645,75169.2846905922,60314.11907299999,1005.95,1005.59,1005.0
2017-01-02 08:00:00,1004.94,188.37061158000003,189549.851969358,60368.03262729998,1006.53,1006.08,1005.59
2017-01-02 09:00:00,1006.06,767.4982894099999,775452.9553317587,60696.668572099996,1015.0,1014.99,1006.49
2017-01-02 10:00:00,1014.59,528.6501868999999,539702.0531285942,61228.935985800024,1024.0,1020.0,1014.99
2017-01-02 11:00:00,1015.98,655.33277442,669761.2251780427,61351.563215900016,1024.92,1024.92,1020.0
2017-01-02 12:00:00,1020.55,161.79025827000004,165732.117740432,61456.819542399986,1025.0,1024.96,1024.92
2017-01-02 13:00:00,998.72,794.6736739799999,803137.8973673122,61015.898135550015,1024.99,1015.4,1022.97
2017-01-02 14:00:00,1013.23,282.5385398199999,287390.8484661531,61021.254303099995,1024.89,1022.5,1015.41
2017-01-02 15:00:00,1021.88,411.6109511700001,421984.83630714327,61500.0587121,1030.0,1026.65,1022.5
2017-01-02 16:00:00,1025.5,447.17952777000005,459812.439783719,61683.85991550001,1032.0,1025.7,1026.65
2017-01-02 17:00:00,1022.0,222.76437330000005,227943.19190892403,61388.00573200001,1025.7,1022.0,1025.7
2017-01-02 18:00:00,1010.0,363.17155235,369592.8729979549,61215.1942326,1023.89,1012.99,1022.0
2017-01-02 19:00:00,1009.12,501.4633345499999,506792.3912845088,60678.82140749998,1014.88,1009.88,1012.94
2017-01-02 20:00:00,990.01,759.4696832000002,760305.7764029497,60295.92925831999,1013.5,1013.5,1009.88
2017-01-02 21:00:00,1008.49,230.21106645999998,233291.06920640176,60722.10111959999,1018.84,1012.5,1014.07
2017-01-02 22:00:00,1011.97,375.91683535,381212.91250045894,60833.65996919998,1017.77,1016.8,1012.0
